tier,category,item,blocks,status,owner,notes
2,Identity,Preferred payment methods,"Trust content",not started,Tino,
2,Strategy,Top 2-3 services he wants to be hired for,"GBP primary category - strongest local ranking lever",not started,Tino,Answer by revenue not aspiration
2,Strategy,Minimum and maximum job size,"Homepage positioning, lead filtering",not started,Tino,
2,Strategy,Jobs he does NOT want,"Lead filtering",not started,Tino,
2,Strategy,Price ranges per service (3 tiers ideal),"Pricing pages - biggest differentiator found",not started,Tino,Only 2 of 21 sites do this
2,Projects,Project 1 - house addition (doubled sq ft),"Flagship portfolio piece",not started,Tino,Own property - no permission needed
2,Projects,Project 2 - 4-car carport,"Portfolio",not started,Tino,Own property - no permission needed
2,Projects,Project 3 - outdoor kitchen (roof + sink + stove),"Portfolio",not started,Tino,Own property; proves multi-trade in one job
2,Projects,Project 4 - interior renovations,"Portfolio, before/after material",not started,Tino,Own property
2,Projects,Projects 5-12,"Gallery depth",not started,Tino,Target 8-12 total for launch
2,Photos,20-40 real project photos,"Entire portfolio",not started,Tino,No stock photos ever
2,Photos,Before/after pairs shot from same position,"Comparison sliders",not started,Tino,Highest-value single ask
2,Photos,Photos of Tino working - face visible,"Trust - only 4 of 21 sites have this",not started,Tino,
2,Photos,Portrait for About page,"About page",not started,Tino,
2,Photos,Detail close-ups (tile/trim/panel),"Proof of finish quality",not started,Tino,
2,Photos,Per-photo provenance (who shot / whose property / employer work),"LEGAL GATE - build blocks unreleased images",not started,Tino,Georgia: Cabaniss means accidental publication is still liability
2,Photos,Signed photo releases for client properties,"LEGAL GATE",not started,Tino,Collect at job closeout
2,Content,His story - voice memo,"About page - 2nd most visited page",not started,Tino,Voice memo preferred over writing
2,Content,Total years of experience,"Trust strip",not started,Tino,
2,Content,Warranty term and coverage,"Trust strip + GA Rule 553-7-.01 compliance",not started,Tino,Georgia REQUIRES offering one on residential over $2500
2,Content,Estimating and communication process,"Process page - answers top 3 homeowner complaints",not started,Tino,A redacted sample estimate would be ideal
2,Content,Georgia permit jurisdictions he pulls in,"Process page - 43-41-14 makes this a verifiable claim",not started,Tino,
2,Content,Existing testimonials/reviews + permission to quote,"Reviews section",not started,Tino,
2,Content,Bilingual decision - full mirror or single Spanish page,"i18n scope",not started,You + Tino,Recommend starting with one page
2,Legal,Contract package drafted (warranty + cancellation notice + photo clause),"Legal operation",not started,You + attorney,3-day notice: if not given the cancel window NEVER closes
2,Infra,Domain registered,"Deploy",not started,You,
2,Infra,Render static site + custom domain + PAYMENT METHOD ON FILE,"Deploy",not started,You,Stay on Hobby. Card avoids spin-down; overage only $0.15/GB
2,Infra,Image CDN (Cloudflare Images recommended),"Page speed / Core Web Vitals",not started,You,Set up before photos arrive. Perf reason not cost
2,Infra,Form backend (Web3Forms) tested end-to-end from a phone,"Lead capture",not started,You,1 in 6 contractor forms fail silently
2,Infra,Google Business Profile created and optimized,"Probably the single biggest lead source",not started,You + Tino,Do this before the site is finished
2,Infra,Analytics,"Measurement",not started,You,
3,Credentials,Level 1A Erosion & Sediment Control (blue card),"Georgia land-disturbing work incl. trenching",not started,Tino,Cheapest + fastest credential - do this first. O.C.G.A. 12-7-19
3,Credentials,12-hour utility safety training (trenching + confined space),"Prerequisite for Foreman and Manager",not started,Tino,Rule 121-2-.10(1)
3,Credentials,Utility Foreman certificate,"Satisfies on-site presence rule; employable immediately",not started,Tino,1 yr experience + course + letters. NO EXAM
3,Credentials,Utility Manager certificate,"Required for the LLC's utility contractor license",not started,Tino,Out-of-state equivalent experience accepted. Oral exam available
3,Credentials,Utility Contractor license for the LLC,"Advertising sewer/storm/water main services AT ALL",not started,Tino,Needs written safety policy. Can qualify only ONE business
3,Credentials,Written safety policy for the LLC,"Utility Contractor license application",not started,You + Tino,Rule 121-2-.07(1)(b) - five required elements
3,Credentials,Georgia Chapter 41 license application + exam,"All residential service pages",not started,Tino,Document supervision/PM experience in those terms for GC tier
3,Commercial,Full pipe-network resume (employers/years/systems/sizes/agencies/role),"Capability statement backbone",not started,Tino,Prose only - no photo permission needed
3,Commercial,Clarify: designed pipe networks or built to others' designs?,"Accuracy of the commercial pitch",not started,Tino,'Engineer' protected in GA; Level II design cert not open to him
3,Commercial,OSHA 10/30 card,"Commercial credentials",not started,Tino,
3,Commercial,NASSCO PACP/MACP/LACP,"Often required by Georgia municipalities for CCTV",not started,Tino,~$1270 / 3yr - worth acquiring if missing
3,Commercial,Welding / backflow certs,"Commercial credentials",not started,Tino,
3,Commercial,Equipment owned or accessible,"Commercial page - proof of capability",not started,Tino,
3,Commercial,Self-performance percentage,"Commercial page - civil-side credibility",not started,Tino,
3,Commercial,Surety relationship / bonding capacity letter,"GC prequalification; Georgia public work",not started,Tino,
3,Commercial,Bookkeeping system + CPA relationship,"GDOT prequalification above $2M; GC prequal above ~$250K",not started,Tino,Not urgent at his scale
3,Commercial,Commercial references (supervisors/agencies/GCs),"Commercial page - named attribution",not started,Tino,Get titles and organizations
3,Commercial,Capability statement PDF drafted,"Commercial download - nobody in 21-site sample had one",not started,You,
3,BidAccess,GDOT Subcontractor registration,"Prime contracts up to $2M - lightest high-value registration",not started,You + Tino,Rule 672-5-.11. File 10+ days before any bid opening
3,BidAccess,Team Georgia Marketplace registration + NIGP codes,"State bid notifications",not started,You,Free
3,BidAccess,Metro Atlanta water/sewer authority vendor registrations,"His specialty's actual buyers",not started,You + Tino,Atlanta DWM / DeKalb / Cobb / Gwinnett DWR / Clayton. CHECK NON-SOLICIT FIRST
3,BidAccess,SAM.gov registration (UEI + CAGE),"Capability statement corporate data",not started,You + Tino,
3,BidAccess,HUBZone address check,"Free - 10% price evaluation preference",not started,You,Race-neutral and unaffected by the federal turmoil
3,BidAccess,DBE certification via GDOT or MARTA,"Public work preference (goals currently suspended)",not started,Tino,Now needs a Personal Narrative + net worth statement
3,BidAccess,City of Atlanta EBO/HABE + SBO certification,"Atlanta contract goals",not started,Tino,ATLSuppliers.com then atlantaga.gob2g.com. Durability uncertain
3,BidAccess,Ownership documentation (51%+),"Any certification",not started,Tino,
4,Ongoing,Steady drip of new project photos,"GBP recency, freshness",not started,Tino,4 photos per job habit - see photo-guide
4,Ongoing,Review requests at every job closeout,"Reviews - 74% check 2+ sites",not started,Tino,Pair with the photo release ask
4,Ongoing,Owner responses to all reviews,"89% of consumers expect them",not started,Tino,
4,Ongoing,Short jobsite videos,"Differentiator - almost nobody at this scale does video",not started,Tino,
4,Ongoing,Common customer questions verbatim,"Free FAQ content",not started,Tino,
4,Ongoing,Renewal calendar set up,"Avoiding lapsed credentials",not started,You,See docs/02a. GDOT sends no reminders; GA license lapse = revocation
